Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,ExpectedReason,Message
"status-token/PR_SS/successor/","PR_SS","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/successor/TK_Bogus","PR_SS","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/successor/TK_Active ","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnresolvedActualStart","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"status-token/PR_SS/successor/tk_notstart","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","restart_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_SS/successor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_SS/successor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-malformed-actual-start/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-actual-start-after-data-date/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-actual-start-after-remaining-finish/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-negative-remaining-duration/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedRelationship","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","Observation only","Progressed SS/SF remaining-event semantics are not verified, including expired/remaining lag."
"active-malformed-remaining-duration/PR_SS/successor","PR_SS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedRelationship","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","Observation only","Progressed SS/SF remaining-event semantics are not verified, including expired/remaining lag."
"complete-missing-actual-finish/PR_SS/successor","PR_SS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_SS/successor","PR_SS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"status-token/PR_SF/predecessor/","PR_SF","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SF/predecessor/TK_Bogus","PR_SF","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SF/predecessor/TK_Active ","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnsupportedProgressedStartEndpoint","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"status-token/PR_SF/predecessor/tk_notstart","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","15.999999999972222222222222222","1.9999999999965277777777777778","1.9999999999965277777777777778","restart_date","2026-01-05T08:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_SF/predecessor","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_SF/predecessor","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-malformed-actual-start/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-actual-start-after-data-date/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-actual-start-after-remaining-finish/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-negative-remaining-duration/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-malformed-remaining-duration/PR_SF/predecessor","PR_SF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"complete-missing-actual-finish/PR_SF/predecessor","PR_SF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_SF/predecessor","PR_SF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"status-token/PR_SF/successor/","PR_SF","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SF/successor/TK_Bogus","PR_SF","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SF/successor/TK_Active ","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnresolvedActualStart","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"status-token/PR_SF/successor/tk_notstart","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","15.999999999972222222222222222","1.9999999999965277777777777778","1.9999999999965277777777777778","restart_date","2026-01-05T08:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_SF/successor","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_SF/successor","PR_SF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-malformed-actual-start/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-actual-start-after-data-date/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-actual-start-after-remaining-finish/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-negative-remaining-duration/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedRelationship","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","Observation only","Progressed SS/SF remaining-event semantics are not verified, including expired/remaining lag."
"active-malformed-remaining-duration/PR_SF/successor","PR_SF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedRelationship","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","Observation only","Progressed SS/SF remaining-event semantics are not verified, including expired/remaining lag."
"complete-missing-actual-finish/PR_SF/successor","PR_SF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_SF/successor","PR_SF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
